	sequence_id	cluster_id
0	AY442351	Chondrostei
1	MT276291	Chondrostei
2	KF153104	Chondrostei
3	NC_036060	Chondrostei
4	NC_036420	Chondrostei
5	KM591217	Chondrostei
6	KX276659	Chondrostei
7	KX817305	Chondrostei
8	NC_012576	Chondrostei
9	AP004354	Chondrostei
10	KU985086	Chondrostei
11	MF101784	Chondrostei
12	KU985078	Chondrostei
13	MT276292	Chondrostei
14	KU321568	Chondrostei
15	NC_023837	Chondrostei
16	MF101783	Chondrostei
17	KP997218	Chondrostei
18	NC_034784	Chondrostei
19	MT276294	Chondrostei
20	MF101787	Chondrostei
21	MF101789	Chondrostei
22	NC_031188	Chondrostei
23	AY510086	Chondrostei
24	KU985071	Chondrostei
25	MF101786	Chondrostei
26	MF101781	Chondrostei
27	MK771835	Chondrostei
28	MF101785	Chondrostei
29	MH973731	Chondrostei
30	AB042837	Chondrostei
31	MF958972	Chondrostei
32	KX817309	Chondrostei
33	KJ174513	Chondrostei
34	KU985083	Chondrostei
35	KJ789859	Chondrostei
36	KX276658	Chondrostei
37	KU985084	Chondrostei
38	KX817310	Chondrostei
39	KX817308	Chondrostei
40	NC_044444	Neopterygii
41	NC_033941	Neopterygii
42	AP004445	Neopterygii
43	JN412817	Neopterygii
44	KJ637323	Neopterygii
45	KC262636	Neopterygii
46	EF523611	Neopterygii
47	AB282852	Neopterygii
48	MK234847	Neopterygii
49	AP009167	Neopterygii
50	NC_038196	Neopterygii
51	AP006006	Neopterygii
52	AP011348	Neopterygii
53	NC_006398	Neopterygii
54	NC_028169	Neopterygii
55	MN842723	Neopterygii
56	KT619054	Neopterygii
57	NC_008224	Neopterygii
58	NC_022725	Neopterygii
59	NC_032397	Neopterygii
60	NC_028282	Neopterygii
61	AP011304	Neopterygii
62	KX897946	Neopterygii
63	KT175511	Neopterygii
64	MK784233	Neopterygii
65	FJ445396	Neopterygii
66	DQ536429	Neopterygii
67	LC493919	Neopterygii
68	KP013085	Neopterygii
69	AB238969	Neopterygii
70	MN162695	Neopterygii
71	AP011279	Neopterygii
72	NC_010288	Neopterygii
73	KP064328	Neopterygii
74	MH538854	Neopterygii
75	KT213603	Neopterygii
76	KC897653	Neopterygii
77	AP011381	Neopterygii
78	NC_008677	Neopterygii
79	NC_015360	Neopterygii
80	AP004351	Polypteriformes
81	HM143925	Polypteriformes
82	NC_023272	Polypteriformes
83	HM143937	Polypteriformes
84	HM143934	Polypteriformes
85	NC_020653	Polypteriformes
86	HM143939	Polypteriformes
87	NC_020791	Polypteriformes
88	NC_001778	Polypteriformes
89	HM143931	Polypteriformes
90	NC_020652	Polypteriformes
91	NC_005251	Polypteriformes
92	HM143933	Polypteriformes
93	AJ584641	Polypteriformes
94	HM143930	Polypteriformes
95	NC_004418	Polypteriformes
96	AY442348	Polypteriformes
97	NC_020655	Polypteriformes
98	NC_020651	Polypteriformes
99	HM143929	Polypteriformes
100	HM143927	Polypteriformes
101	HM143926	Polypteriformes
102	NC_030714	Polypteriformes
103	AP004352	Polypteriformes
104	POU62532	Polypteriformes
105	HM143936	Polypteriformes
106	HM143932	Polypteriformes
107	HM143935	Polypteriformes
108	NC_020654	Polypteriformes
109	U62532	Polypteriformes
110	AP004350	Polypteriformes
111	HM143938	Polypteriformes
112	HM143928	Polypteriformes
