	sequence_id	cluster_id
0	KJ843196	F
1	FJ709462	F
2	HM585199	F
3	HE981181	F
4	KJ586806	F
5	KJ843167	F
6	HM585194	F
7	AB365450	F
8	KJ638660	F
9	FJ709464	F
10	DQ899142	F
11	HM590472	F
12	AF223962	F
13	KJ843164	F
14	HM585197	F
15	KJ843209	F
16	KJ843169	F
17	KJ843202	F
18	EF576812	F
19	HM585193	F
20	AB036905	F
21	KJ843175	F
22	KP995117	F
23	EF576808	F
24	KP995111	F
25	KM233681	F
26	AB116654	F
27	FJ657528	F
28	DQ899144	F
29	FJ709463	F
30	MG098578	F
31	KJ843180	F
32	KY476327	F
33	AB036916	F
34	KP995109	F
35	KJ843176	F
36	AF223964	F
37	KJ843226	F
38	KJ843205	F
39	HQ378247	F
40	DQ899150	F
41	HM585186	F
42	KJ843178	F
43	KJ843191	F
44	KJ843189	F
45	EU366116	F
46	KJ843206	F
47	KP995107	F
48	AB365453	F
49	AY090455	F
50	KJ638659	F
51	HM590471	F
52	AB036912	F
53	KP995115	F
54	KJ843197	F
55	MH051986	F
56	HM585195	F
57	DQ823095	F
58	HM585187	F
59	KY476328	F
60	KP995118	F
61	KC494404	F
62	DQ823091	F
63	KC494401	F
64	HM585192	F
65	KJ843210	F
66	KJ843222	F
67	DQ899145	F
68	FJ709459	F
69	KJ843199	F
70	JN688703	F
71	KP995105	F
72	KJ843224	F
73	DQ899147	F
74	KC494394	F
75	KC494395	F
76	AY311369	F
77	KY476323	F
78	KJ843181	F
79	JQ272888	F
80	KC494399	F
81	HM585198	F
82	AB036914	F
83	KP995125	F
84	KJ843171	F
85	KY476325	F
86	KJ843204	F
87	KJ638656	F
88	AB116552	F
89	AY311370	F
90	DQ899149	F
91	JX079936	F
92	JN811656	F
93	KP718107	F
94	DQ823088	F
95	KJ843212	F
96	JN688699	F
97	HM585191	F
98	AY179735	F
99	AY090458	F
100	KC494398	F
101	JN688720	F
102	AF223965	F
103	KY476332	F
104	AB214516	F
105	JN792921	F
106	FJ709458	F
107	KJ843194	F
108	MG098566	F
109	FJ589067	F
110	FJ657525	F
111	DQ899143	F
112	KP995124	F
113	MH051987	F
114	JN688709	F
115	FJ709494	F
116	KJ586808	F
117	HM585200	F
118	DQ776247	F
119	KP995104	F
120	DQ823087	F
121	AF223963	F
122	KX264499	F
123	KP995114	F
124	KP995120	F
125	KF199901	F
126	JN792918	F
127	KJ843201	F
128	AB365446	F
129	JN792922	F
130	EU366133	F
131	KY476329	F
132	KP718113	F
133	KP718110	F
134	JN688691	F
135	KJ843207	F
136	HE981182	F
137	KJ843174	F
138	FJ589066	F
139	DQ823092	F
140	KY476330	F
141	KJ843193	F
142	KY476324	F
143	AB116551	F
144	KY458062	F
145	KJ843198	F
146	FJ657529	F
147	KJ843220	F
148	KP718103	F
149	DQ823094	F
150	MG098580	F
151	JN792917	F
152	HM590473	F
153	MG098575	F
154	JN811655	F
155	DQ823089	F
156	FJ709460	F
157	JN792920	F
158	EU366132	F
159	AB166850	F
160	KJ843221	F
161	MG098565	F
162	KJ843200	F
163	JN688701	F
164	DQ899148	F
165	KM998715	F
166	HM585196	F
167	DQ899146	F
168	AY090459	F
169	KY382416	F
170	KJ843190	F
171	AB064316	F
172	KY476331	F
173	FJ709457	F
174	AB036915	F
175	KJ843177	F
176	X75658	F
177	MG098569	F
178	KC494403	F
179	MG098564	F
180	KC494405	F
181	AY090461	F
182	KJ843223	F
183	KY476322	F
184	AB086397	F
185	X75663	F
186	AB116549	F
187	KJ586807	F
188	KJ638664	F
