	sequence_id	cluster_id
0	MH035558	Paracanthopterygii
1	MH035518	Paracanthopterygii
2	MH035554	Paracanthopterygii
3	KX267019	Paracanthopterygii
4	KX266978	Paracanthopterygii
5	KX267071	Paracanthopterygii
6	MH061053	Paracanthopterygii
7	AP004418	Paracanthopterygii
8	KX267044	Paracanthopterygii
9	MH035547	Paracanthopterygii
10	MH061080	Paracanthopterygii
11	AP004409	Paracanthopterygii
12	MH061099	Paracanthopterygii
13	KX267047	Paracanthopterygii
14	MT157320	Paracanthopterygii
15	KX266972	Paracanthopterygii
16	KY296294	Paracanthopterygii
17	NC_013875	Paracanthopterygii
18	MH061093	Paracanthopterygii
19	AB182306	Paracanthopterygii
20	MH061045	Paracanthopterygii
21	MH035532	Paracanthopterygii
22	MH061060	Paracanthopterygii
23	KX267006	Paracanthopterygii
24	MH035506	Paracanthopterygii
25	NC_016020	Paracanthopterygii
26	MH035555	Paracanthopterygii
27	NC_007396	Paracanthopterygii
28	NC_004449	Paracanthopterygii
29	MH061062	Paracanthopterygii
30	KX267023	Paracanthopterygii
31	KX267069	Paracanthopterygii
32	MH061092	Paracanthopterygii
33	MH035534	Paracanthopterygii
34	KX267088	Paracanthopterygii
35	MH035589	Paracanthopterygii
36	KX267068	Paracanthopterygii
37	NC_015094	Paracanthopterygii
38	MH035544	Paracanthopterygii
39	KX267073	Paracanthopterygii
40	KX267018	Paracanthopterygii
41	MH061084	Paracanthopterygii
42	KX266987	Paracanthopterygii
43	MH035535	Paracanthopterygii
44	AP004415	Paracanthopterygii
45	MH061063	Paracanthopterygii
46	AP004411	Paracanthopterygii
47	KX267054	Paracanthopterygii
48	NC_027436	Paracanthopterygii
49	NC_002081	Paracanthopterygii
50	MH035516	Paracanthopterygii
51	AP004408	Paracanthopterygii
52	MH035559	Paracanthopterygii
53	KX267045	Paracanthopterygii
54	AB182307	Paracanthopterygii
55	KX267064	Paracanthopterygii
56	KX266989	Paracanthopterygii
57	KX267058	Paracanthopterygii
58	KX267024	Paracanthopterygii
59	KX266980	Paracanthopterygii
60	DQ356936	Paracanthopterygii
61	KF751382	Paracanthopterygii
62	NC_006920	Paracanthopterygii
63	KX266981	Paracanthopterygii
64	KX267037	Paracanthopterygii
65	MH035543	Paracanthopterygii
66	NC_013871	Paracanthopterygii
67	KX267057	Paracanthopterygii
68	MH035562	Paracanthopterygii
69	KX267043	Paracanthopterygii
70	NC_004381	Paracanthopterygii
71	MH035501	Paracanthopterygii
72	NC_036988	Paracanthopterygii
73	AP004416	Paracanthopterygii
74	NC_013872	Paracanthopterygii
