	sequence_id	cluster_id
0	NC_015897	Birds
1	NC_011716	Birds
2	NC_024575	Birds
3	NC_029344	Birds
4	NC_025916	Birds
5	NC_025616	Birds
6	NC_024698	Birds
7	NC_015203	Birds
8	NC_020581	Birds
9	NC_029145	Birds
10	NC_020604	Birds
11	NC_014341	Birds
12	NC_025613	Birds
13	NC_022817	Birds
14	NC_031819	Birds
15	NC_025579	Birds
16	NC_020578	Birds
17	NC_020591	Birds
18	NC_028020	Birds
19	NC_024866	Birds
20	NC_025927	Birds
21	NC_012844	Birds
22	NC_002069	Birds
23	NC_026548	Birds
24	NC_025596	Birds
25	NC_029151	Birds
26	NC_012772	Birds
27	NC_030603	Birds
28	NC_029377	Birds
29	NC_031157	Birds
30	NC_024619	Birds
31	NC_031352	Birds
32	NC_018548	Birds
33	NC_020423	Birds
34	NC_018807	Birds
35	NC_002772	Birds
36	NC_003712	Birds
37	NC_023777	Birds
38	NC_027275	Birds
39	NC_023788	Birds
40	NC_028404	Birds
41	NC_012143	Birds
42	NC_029146	Birds
43	NC_025622	Birds
44	NC_007598	Birds
45	NC_008140	Birds
46	NC_024865	Birds
47	NC_023946	Birds
48	NC_020574	Birds
49	NC_029359	Birds
50	NC_024257	Birds
51	NC_027655	Birds
52	NC_023939	Birds
53	NC_019668	Birds
54	NC_029144	Birds
55	NC_003408	Birds
56	NC_007979	Birds
57	NC_031347	Birds
58	NC_018798	Birds
59	NC_024618	Birds
60	NC_027229	Birds
61	NC_021621	Birds
62	NC_018805	Birds
63	NC_004538	Birds
64	NC_025595	Birds
65	NC_028437	Birds
66	NC_025923	Birds
67	NC_018794	Birds
68	NC_013483	Birds
69	NC_026082	Birds
70	NC_023375	Birds
71	NC_007975	Birds
72	NC_018806	Birds
73	NC_031868	Birds
74	NC_028174	Birds
75	NC_020426	Birds
76	NC_027947	Birds
77	NC_025654	Birds
78	NC_015233	Birds
79	NC_026459	Birds
80	NC_010227	Birds
81	NC_015077	Birds
82	NC_007006	Birds
83	NC_030585	Birds
84	NC_027095	Birds
85	NC_024198	Birds
86	NC_015898	Birds
87	NC_029147	Birds
88	NC_025618	Birds
89	NC_011818	Birds
90	NC_030368	Birds
91	NC_010771	Birds
92	NC_029758	Birds
93	NC_015201	Birds
94	NC_028545	Birds
95	NC_020584	Birds
96	NC_029188	Birds
97	NC_009684	Birds
98	NC_000877	Birds
99	NC_025742	Birds
100	NC_017604	Birds
101	NC_011718	Birds
102	NC_024280	Birds
103	NC_024620	Birds
104	NC_025637	Birds
105	NC_027933	Birds
106	NC_007172	Birds
107	NC_028019	Birds
108	NC_025919	Birds
109	NC_022418	Birds
110	NC_023779	Birds
111	NC_024533	Birds
112	NC_010770	Birds
113	NC_025609	Birds
114	NC_029402	Birds
115	NC_013146	Birds
116	NC_032058	Birds
117	NC_010195	Birds
118	NC_029189	Birds
119	NC_027496	Birds
120	NC_020573	Birds
121	NC_028346	Birds
122	NC_019804	Birds
123	NC_031865	Birds
124	NC_027845	Birds
125	NC_031351	Birds
126	NC_031374	Birds
127	NC_010228	Birds
128	NC_020600	Birds
129	NC_015085	Birds
130	NC_007883	Birds
131	NC_008550	Birds
132	NC_025914	Birds
133	NC_020576	Birds
134	NC_010781	Birds
135	NC_020597	Birds
136	NC_023832	Birds
137	NC_019666	Birds
138	NC_020594	Birds
139	NC_026461	Birds
140	NC_028187	Birds
141	NC_024868	Birds
142	NC_028186	Birds
143	NC_021474	Birds
144	NC_028194	Birds
145	NC_025600	Birds
146	NC_025502	Birds
147	NC_018801	Birds
148	NC_020582	Birds
149	NC_015234	Birds
150	NC_028037	Birds
151	NC_015192	Birds
152	NC_027096	Birds
153	NC_009736	Birds
154	NC_028188	Birds
155	NC_028436	Birds
156	NC_020599	Birds
157	NC_031350	Birds
158	NC_012140	Birds
159	NC_020572	Birds
160	NC_028408	Birds
161	NC_020575	Birds
162	NC_022683	Birds
163	NC_025628	Birds
164	NC_018803	Birds
165	NC_020592	Birds
166	NC_024553	Birds
167	NC_028163	Birds
168	NC_002778	Birds
169	NC_028162	Birds
170	NC_020583	Birds
171	NC_002196	Birds
172	NC_018799	Birds
173	NC_024266	Birds
174	NC_031869	Birds
175	NC_027942	Birds
176	NC_021368	Birds
177	NC_024107	Birds
178	NC_025627	Birds
179	NC_031863	Birds
180	NC_022839	Birds
181	NC_010778	Birds
182	NC_025580	Birds
183	NC_007978	Birds
184	NC_027847	Birds
