	sequence_id	cluster_id
0	KX411021	H1N1
1	MH600249	H1N1
2	MK380086	H1N1
3	LN846568	H1N1
4	KU509921	H1N1
5	AM920729	H1N1
6	CY088595	H1N1
7	MK380089	H1N1
8	MH328891	H1N1
9	FJ686989	H1N1
10	CY066062	H1N1
11	MN154192	H1N1
12	MK080197	H1N1
13	EU566978	H1N1
14	MT331330	H1N1
15	MN160858	H1N1
16	KJ154138	H1N1
17	KC882131	H1N1
18	CY053659	H1N1
19	CY096076	H1N1
20	MK839409	H1N1
21	MF582493	H1N1
22	GQ475920	H1N1
23	CY057432	H1N1
24	CY053898	H1N1
25	KX411357	H1N1
26	AB649922	H1N1
27	CY086582	H1N1
28	CY020271	H1N1
29	JN631042	H1N1
30	CY129960	H1N1
31	KX006060	H1N1
32	GQ117058	H1N1
33	JN187200	H1N1
34	KR701886	H1N1
35	KJ605022	H1N1
36	MG706994	H1N1
37	CY004476	H1N1
38	CY123685	H1N1
39	CY052745	H1N1
40	CY054664	H1N1
41	GQ475708	H1N1
42	KY328803	H1N1
43	JX625244	H1N1
44	CY055504	H1N1
45	CY216875	H1N1
46	KU695616	H1N1
47	KP892973	H1N1
48	CY217027	H1N1
49	KX410669	H1N1
50	MK927342	H1N1
51	KC345641	H1N1
52	MK267246	H1N1
53	HQ247737	H1N1
54	JX422481	H1N1
55	MK506984	H1N1
56	JN863547	H1N1
57	KC690005	H1N1
58	HM230703	H1N1
59	KT181474	H1N1
60	CY071201	H1N1
61	JX657011	H1N1
62	CY072944	H1N1
63	CY112077	H1N1
64	EU716587	H1N1
65	KU933879	H1N1
66	MH446570	H1N1
67	MK960190	H1N1
68	MH502959	H1N1
69	MH802631	H1N1
70	CY073635	H1N1
71	JX309754	H1N1
72	MT245073	H1N1
73	JX905421	H1N1
74	CY083609	H1N1
75	GQ475871	H1N1
76	AY180836	H1N1
77	EU567014	H1N1
78	MG856208	H1N1
79	KX006199	H1N1
80	KJ856395	H1N1
81	CY100950	H1N1
82	KX411645	H1N1
83	MT167158	H1N1
84	CY116513	H1N1
85	EU097735	H1N1
86	KF715175	H1N1
87	JX952160	H1N1
88	CY100958	H1N1
89	CY066088	H1N1
90	KY681604	H1N1
91	MH346672	H1N1
92	KM366769	H1N1
93	CY189507	H1N1
94	KC859025	H1N1
95	KU242630	H1N1
96	CY069911	H1N1
97	CY063810	H1N1
98	CY009294	H1N1
99	CY072808	H1N1
100	CY119076	H1N1
101	CY125166	H1N1
102	KX014862	H1N1
103	KF667690	H1N1
104	MT081592	H1N1
105	KC780718	H1N1
106	KC592042	H1N1
107	MK366961	H1N1
108	KC780459	H1N1
109	HQ877029	H1N1
110	KC891137	H1N1
111	MK868832	H1N1
112	MF455482	H1N1
113	MT303362	H1N1
114	KM409034	H1N1
115	MT167291	H1N1
116	KF612139	H1N1
117	MT466354	H1N1
118	KX919054	H1N1
119	KP404294	H1N1
120	JF714106	H1N1
121	KX005715	H1N1
122	KX915030	H1N1
123	CY147685	H1N1
124	CY100918	H1N1
125	GQ475948	H1N1
126	HM006725	H1N1
127	AB521093	H1N1
128	KX005108	H1N1
129	CY072488	H1N1
130	JF714078	H1N1
131	D31944	H1N1
132	KR700368	H1N1
133	MF768701	H1N1
134	KT181614	H1N1
135	GU984394	H1N1
136	MK840333	H1N1
137	KP637296	H1N1
138	CY225560	H1N1
139	MH637093	H1N1
140	CY070897	H1N1
141	LN850331	H1N1
142	GQ423398	H1N1
143	KM213323	H1N1
144	KC782221	H1N1
145	MK631092	H1N1
146	MT052153	H1N1
147	GQ476104	H1N1
148	CY158915	H1N1
149	MK868818	H1N1
150	CY063592	H1N1
151	CY091602	H1N1
152	CY114598	H1N1
153	JQ624648	H1N1
154	KM409308	H1N1
155	CY009822	H1N1
156	GQ896361	H1N1
157	MG770162	H1N1
158	MH669957	H1N1
159	MH183774	H1N1
160	KC748518	H1N1
161	CY025335	H1N1
162	MK898598	H1N1
163	GU108488	H1N1
164	MN201086	H1N1
165	MH726706	H1N1
166	KM366689	H1N1
167	CY188443	H1N1
168	CY130174	H1N1
