	sequence_id	cluster_id
0	KY945352	Cypriniformes
1	AP011298	Cypriniformes
2	MW007386	Cypriniformes
3	KX781320	Cypriniformes
4	KM017732	Cypriniformes
5	AP011444	Cypriniformes
6	KT213594	Cypriniformes
7	AP011322	Cypriniformes
8	KF739398	Cypriniformes
9	KT213587	Cypriniformes
10	AP011448	Cypriniformes
11	NC_026528	Cypriniformes
12	NC_018043	Cypriniformes
13	KY851112	Cypriniformes
14	KY352773	Cypriniformes
15	NC_037008	Cypriniformes
16	AP011228	Cypriniformes
17	AP011291	Cypriniformes
18	JQ686729	Cypriniformes
19	NC_008676	Cypriniformes
20	KT213585	Cypriniformes
21	KF765805	Cypriniformes
22	MN709617	Cypriniformes
23	KP749475	Cypriniformes
24	NC_031617	Cypriniformes
25	NC_027663	Cypriniformes
26	KP025676	Cypriniformes
27	KJ476998	Cypriniformes
28	KM079630	Cypriniformes
29	AP012155	Cypriniformes
30	NC_006136	Cypriniformes
31	NC_031548	Cypriniformes
32	KT991436	Cypriniformes
33	NC_029444	Cypriniformes
34	KT213605	Cypriniformes
35	NC_031582	Cypriniformes
36	KY131976	Cypriniformes
37	NC_045224	Cypriniformes
38	NC_030521	Cypriniformes
39	AP013326	Cypriniformes
40	NC_026870	Cypriniformes
41	JX155734	Cypriniformes
42	AB242172	Cypriniformes
43	AP011237	Cypriniformes
44	NC_023947	Cypriniformes
45	AP012061	Cypriniformes
46	AY366087	Cypriniformes
47	HQ401008	Cypriniformes
48	NC_017890	Cypriniformes
49	KT213586	Cypriniformes
50	NC_026973	Cypriniformes
51	KF386025	Cypriniformes
52	NC_031378	Cypriniformes
53	NC_031640	Cypriniformes
54	NC_033947	Cypriniformes
55	MF579258	Cypriniformes
56	KT122845	Cypriniformes
57	KC161586	Cypriniformes
58	KF669394	Cypriniformes
59	MT157616	Cypriniformes
60	KP319024	Cypriniformes
61	AP013308	Cypriniformes
62	NC_031584	Cypriniformes
63	AB242169	Cypriniformes
64	KR349175	Cypriniformes
65	NC_024621	Cypriniformes
66	MH713708	Cypriniformes
67	NC_020338	Cypriniformes
68	NC_037403	Cypriniformes
69	AB242165	Cypriniformes
70	NC_036741	Cypriniformes
71	JX135578	Cypriniformes
72	KP691029	Cypriniformes
73	NC_004695	Cypriniformes
74	AP012121	Cypriniformes
75	AP010778	Cypriniformes
76	KT906089	Cypriniformes
77	NC_029441	Cypriniformes
78	MF443766	Cypriniformes
79	NC_022934	Cypriniformes
80	KT367805	Cypriniformes
81	KF113878	Cypriniformes
82	GQ903707	Cypriniformes
83	NC_033972	Cypriniformes
84	JN105356	Cypriniformes
85	KP407138	Cypriniformes
86	KP297875	Cypriniformes
87	JQ087872	Cypriniformes
88	KU668572	Cypriniformes
89	KY971608	Cypriniformes
90	AP011346	Cypriniformes
91	KX447641	Cypriniformes
92	NC_046462	Cypriniformes
93	MG570414	Cypriniformes
94	AY526869	Cypriniformes
95	DQ536432	Cypriniformes
96	NC_037183	Cypriniformes
97	AP011441	Cypriniformes
98	MG570424	Cypriniformes
99	KJ909660	Cypriniformes
100	FJ605359	Cypriniformes
101	MG570456	Cypriniformes
102	JQ911695	Cypriniformes
103	AP010782	Cypriniformes
104	KU896992	Cypriniformes
105	AP009317	Cypriniformes
106	NC_022858	Cypriniformes
107	NC_008670	Cypriniformes
108	MH136825	Cypriniformes
109	KM393223	Cypriniformes
110	NC_030483	Cypriniformes
111	GU086397	Cypriniformes
112	NC_034917	Cypriniformes
113	MG650171	Cypriniformes
114	AP013306	Cypriniformes
115	KR062067	Cypriniformes
116	NC_028596	Cypriniformes
117	AP011377	Cypriniformes
118	MN841275	Cypriniformes
119	NC_022949	Cypriniformes
120	NC_026526	Siluriformes
121	AP012024	Siluriformes
122	KT239010	Siluriformes
123	MK134689	Siluriformes
124	NC_022923	Siluriformes
125	KY930718	Siluriformes
126	NC_037193	Siluriformes
127	KC768227	Siluriformes
128	KU213641	Siluriformes
129	NC_042721	Siluriformes
130	NC_026846	Siluriformes
131	KP872693	Siluriformes
132	NC_015888	Siluriformes
133	NC_024279	Siluriformes
134	KJ458934	Siluriformes
135	KP255959	Siluriformes
136	AP006767	Siluriformes
137	NC_025584	Siluriformes
138	NC_039896	Siluriformes
139	NC_028512	Siluriformes
140	NC_015827	Siluriformes
141	MF621727	Siluriformes
142	KJ496299	Siluriformes
143	KP872694	Siluriformes
144	DQ321752	Siluriformes
145	NC_003489	Siluriformes
146	NC_028175	Siluriformes
147	KC193779	Siluriformes
148	NC_015833	Siluriformes
149	AP012022	Siluriformes
150	MK348534	Siluriformes
151	NC_033859	Siluriformes
152	MF804392	Siluriformes
153	JF834542	Siluriformes
154	MK181572	Siluriformes
155	NC_023924	Siluriformes
156	JX867257	Siluriformes
157	NC_027107	Siluriformes
158	NC_039561	Siluriformes
159	NC_021122	Siluriformes
160	NC_020344	Siluriformes
161	JQ026260	Siluriformes
162	KF670723	Siluriformes
163	MF621729	Siluriformes
164	KF514425	Siluriformes
165	MH460877	Siluriformes
166	KY230517	Siluriformes
167	JX087350	Siluriformes
168	KP872682	Siluriformes
169	MG570461	Siluriformes
170	CM010854	Siluriformes
171	NC_022725	Siluriformes
