	sequence_id	cluster_id
0	KU668580	Carassius
1	KF147851	Carassius
2	KJ874431	Carassius
3	KX781320	Carassius
4	MF443761	Carassius
5	NC_002079	Carassius
6	NC_006136	Carassius
7	MF443770	Carassius
8	MF443767	Carassius
9	GU086395	Carassius
10	KU668570	Carassius
11	MF443768	Carassius
12	HQ875340	Carassius
13	KU668578	Carassius
14	GQ903706	Carassius
15	MF443762	Carassius
16	KX505165	Carassius
17	KU896991	Carassius
18	MF443771	Carassius
19	KU668575	Carassius
20	NC_006387	Carassius
21	NC_013430	Carassius
22	KJ874429	Carassius
23	JF496197	Carassius
24	MF443766	Carassius
25	AB006953	Carassius
26	KX505166	Carassius
27	NC_013431	Carassius
28	KU668574	Carassius
29	JN105356	Carassius
30	GU186888	Carassius
31	GQ303444	Carassius
32	MF198464	Carassius
33	NC_006580	Carassius
34	KP210473	Carassius
35	AY714387	Carassius
36	JQ911695	Carassius
37	NC_026543	Carassius
38	KT756205	Carassius
39	NC_018038	Carassius
40	KU668577	Carassius
41	MF443759	Carassius
42	NC_010768	Carassius
43	AY771781	Carassius
44	KJ874428	Carassius
45	MW007386	Rhodeus
46	AP011255	Rhodeus
47	KF425517	Rhodeus
48	NC_022721	Rhodeus
49	NC_007885	Rhodeus
50	KM052222	Rhodeus
51	EF483937	Rhodeus
52	AP011209	Rhodeus
53	NC_029718	Rhodeus
54	NC_022690	Rhodeus
55	EF483934	Rhodeus
56	NC_011211	Rhodeus
57	DQ155662	Rhodeus
58	KU291171	Rhodeus
59	KF980890	Rhodeus
60	NC_027437	Rhodeus
61	DQ026430	Rhodeus
62	AP010778	Rhodeus
63	KF533721	Rhodeus
64	NC_031538	Rhodeus
65	KT004415	Rhodeus
66	NC_008642	Rhodeus
67	NC_025326	Rhodeus
68	AB070205	Rhodeus
69	KM232987	Rhodeus
70	KF176560	Rhodeus
71	NC_013709	Rhodeus
72	NC_024885	Rhodeus
73	NC_031382	Sinocyclocheilus
74	KX778473	Sinocyclocheilus
75	MK387704	Sinocyclocheilus
76	MG021442	Sinocyclocheilus
77	KX528071	Sinocyclocheilus
78	NC_013189	Sinocyclocheilus
79	NC_039594	Sinocyclocheilus
80	NC_043910	Sinocyclocheilus
81	NC_032385	Sinocyclocheilus
82	FJ984568	Sinocyclocheilus
83	MG686610	Sinocyclocheilus
84	NC_023472	Sinocyclocheilus
85	GQ148557	Sinocyclocheilus
86	MG323567	Sinocyclocheilus
87	NC_013186	Sinocyclocheilus
88	MG026730	Sinocyclocheilus
89	MH982229	Sinocyclocheilus
90	NC_037197	Sinocyclocheilus
91	NC_019995	Sinocyclocheilus
92	MH937706	Sinocyclocheilus
93	GU589570	Sinocyclocheilus
94	MN145877	Sinocyclocheilus
95	KF892542	Sinocyclocheilus
96	NC_037858	Sinocyclocheilus
97	MF100765	Sinocyclocheilus
98	NC_044072	Sinocyclocheilus
99	NC_039769	Sinocyclocheilus
100	NC_022183	Acrossocheilus
101	NC_023378	Acrossocheilus
102	NC_029382	Acrossocheilus
103	NC_028527	Acrossocheilus
104	MN395748	Acrossocheilus
105	MN266873	Acrossocheilus
106	KY094969	Acrossocheilus
107	AP009303	Acrossocheilus
108	KT756206	Acrossocheilus
109	KY131974	Acrossocheilus
110	KT991436	Acrossocheilus
111	KT367804	Acrossocheilus
112	NC_022184	Acrossocheilus
113	KY131976	Acrossocheilus
114	KP274878	Acrossocheilus
115	NC_024844	Acrossocheilus
116	NC_020145	Acrossocheilus
117	KJ817184	Acrossocheilus
118	NC_022145	Acrossocheilus
119	KT428616	Acrossocheilus
120	KC495074	Acrossocheilus
121	NC_031551	Acrossocheilus
122	NC_026973	Acrossocheilus
123	KT715479	Acrossocheilus
124	KC161586	Acrossocheilus
125	NC_029453	Acrossocheilus
126	KC788747	Acrossocheilus
127	KP257293	Acrossocheilus
128	NC_024934_2	Acrossocheilus
129	KY131977	Acrossocheilus
130	KF113879	Acrossocheilus
131	MK296412	Acrossocheilus
132	NC_028206	Acrossocheilus
133	KT367805	Acrossocheilus
134	KF113878	Acrossocheilus
135	KY131975	Acrossocheilus
136	AP011251	Acrossocheilus
137	KJ909660	Acrossocheilus
138	NC_047455	Acrossocheilus
139	MG878098	Acrossocheilus
140	KF781289	Acrossocheilus
141	NC_034918	Acrossocheilus
142	NC_034917	Acrossocheilus
143	NC_034919	Acrossocheilus
144	AP011242	Acrossocheilus
145	KR062067	Acrossocheilus
146	KF739398	Schizothorax
147	KJ184546	Schizothorax
148	KT184924	Schizothorax
149	KC513575	Schizothorax
150	NC_035994	Schizothorax
151	MG171194	Schizothorax
152	KM079630	Schizothorax
153	NC_020339	Schizothorax
154	NC_023531	Schizothorax
155	MF804977	Schizothorax
156	KF752480	Schizothorax
157	MF688995	Schizothorax
158	KU234535	Schizothorax
159	KJ126773	Schizothorax
160	MK105912	Schizothorax
161	NC_023365	Schizothorax
162	NC_023829	Schizothorax
163	NC_027162	Schizothorax
164	KU868078	Schizothorax
165	AP011207	Schizothorax
166	KM243919	Schizothorax
167	AP011412	Schizothorax
168	NC_029708	Schizothorax
169	NC_036746	Schizothorax
170	NC_037516	Schizothorax
171	NC_024621	Schizothorax
172	KP143725	Schizothorax
173	AP011208	Schizothorax
174	KU868077	Schizothorax
175	KT944287	Schizothorax
176	NC_026205	Schizothorax
177	KF739399	Schizothorax
178	NC_046462	Schizothorax
179	KT223584	Schizothorax
180	KF600713	Schizothorax
181	NC_020781	Schizothorax
182	NC_021448	Schizothorax
183	NC_037183	Schizothorax
184	NC_036933	Schizothorax
185	KJ718889	Schizothorax
186	KC020113	Schizothorax
187	KC513574	Schizothorax
188	NC_022867	Schizothorax
189	KJ755668	Schizothorax
190	NC_020360	Schizothorax
191	EF483936	Acheilognathus
192	FJ515921	Acheilognathus
193	AP013345	Acheilognathus
194	NC_042407	Acheilognathus
195	MN683735	Acheilognathus
196	KT591478	Acheilognathus
197	EF483932	Acheilognathus
198	NC_013702	Acheilognathus
199	NC_013705	Acheilognathus
200	MK380726	Acheilognathus
201	AP012986	Acheilognathus
202	NC_028736	Acheilognathus
203	AP013344	Acheilognathus
204	LC494269	Acheilognathus
205	KT692966	Acheilognathus
206	MG800786	Acheilognathus
207	MG783572	Acheilognathus
208	MH261370	Acheilognathus
209	NC_028416	Acheilognathus
210	LC006056	Acheilognathus
211	LC494270	Acheilognathus
212	EF483933	Acheilognathus
213	NC_031152	Acheilognathus
214	KP015738	Acheilognathus
215	AP013346	Acheilognathus
216	NC_014882	Acheilognathus
217	AP013343	Acheilognathus
218	AP013347	Acheilognathus
219	NC_008668	Acheilognathus
220	KP067832	Acheilognathus
221	AP013342	Acheilognathus
222	JQ714034	Acheilognathus
223	KT601094	Acheilognathus
224	NC_013704	Acheilognathus
225	EF483935	Acheilognathus
226	KJ499466	Acheilognathus
227	NC_028433	Acheilognathus
228	NC_013711	Acheilognathus
229	AB239602	Acheilognathus
230	EF483930	Acheilognathus
231	NC_026872	Acheilognathus
232	NC_037404	Acheilognathus
233	AP012985	Acheilognathus
234	KF695385	Acheilognathus
235	NC_013712	Acheilognathus
236	AP013348	Acheilognathus
237	NC_023101	Acheilognathus
238	NC_014880	Microphysogobio
239	KF319122	Microphysogobio
240	NC_023461	Microphysogobio
241	MN581867	Microphysogobio
242	NC_024930	Microphysogobio
243	AP012072	Microphysogobio
244	MK843303	Microphysogobio
245	AP012155	Microphysogobio
246	NC_033965	Microphysogobio
247	NC_040303	Microphysogobio
248	NC_045224	Microphysogobio
249	KU314694	Microphysogobio
250	KY228977	Microphysogobio
251	NC_022704	Microphysogobio
252	KF857260	Microphysogobio
253	NC_037402	Microphysogobio
254	NC_045250	Microphysogobio
255	NC_032290	Microphysogobio
256	NC_022191	Microphysogobio
257	NC_027165	Microphysogobio
258	NC_032291	Microphysogobio
259	KR075133	Microphysogobio
260	KC762939	Microphysogobio
261	MH713708	Microphysogobio
262	AP012068	Microphysogobio
263	KJ933414	Microphysogobio
264	NC_021451	Microphysogobio
265	KU314693	Microphysogobio
266	KP677283	Microphysogobio
267	MG797640	Microphysogobio
268	AP011394	Microphysogobio
269	AP012073	Microphysogobio
270	MN970213	Microphysogobio
271	AP012071	Microphysogobio
272	FJ515920	Microphysogobio
273	NC_021473	Onychostoma
274	NC_026549	Onychostoma
275	KF626377	Onychostoma
276	NC_021972	Onychostoma
277	MT024680	Onychostoma
278	KC791686	Onychostoma
279	NC_018043	Onychostoma
280	KF021233	Onychostoma
281	NC_031603	Onychostoma
282	AP009311	Onychostoma
283	MH924834	Onychostoma
284	MG523272	Onychostoma
285	KC896762	Onychostoma
286	NC_019630	Onychostoma
287	NC_031529	Onychostoma
288	KF999680	Onychostoma
289	AP011351	Onychostoma
290	JX646870	Onychostoma
291	NC_022869	Onychostoma
292	AP012062	Onychostoma
293	AP011193	Onychostoma
294	MH998249	Onychostoma
295	NC_024934	Onychostoma
