	sequence_id	cluster_id
0	NC_031166	Rhodophyta
1	NC_030222	Rhodophyta
2	NC_024265	Rhodophyta
3	NC_031841	Rhodophyta
4	NC_017751	Rhodophyta
5	NC_026843	Rhodophyta
6	NC_031839	Rhodophyta
7	NC_002007	Rhodophyta
8	NC_026055	Rhodophyta
9	NC_031814	Rhodophyta
10	NC_031842	Rhodophyta
11	NC_027061	Rhodophyta
12	NC_024579	Rhodophyta
13	NC_023094	Rhodophyta
14	NC_031837	Rhodophyta
15	NC_023784	Rhodophyta
16	NC_014772	Rhodophyta
17	NC_021475	Rhodophyta
18	NC_031836	Rhodophyta
19	NC_000887	Rhodophyta
20	NC_001677	Rhodophyta
21	NC_026054	Rhodophyta
22	NC_031160	Rhodophyta
23	NC_026905	Rhodophyta
24	NC_024288	Rhodophyta
25	NC_031840	Rhodophyta
26	NC_023077	Rhodophyta
27	NC_032003	Rhodophyta
28	NC_017837	Rhodophyta
29	NC_031843	Rhodophyta
30	NC_031844	Rhodophyta
31	NC_024666	Rhodophyta
32	NC_026053	Rhodophyta
33	NC_031838	Rhodophyta
34	NC_027064	Rhodophyta
35	NC_023251	Rhodophyta
36	NC_018544	Rhodophyta
37	NC_023454	Rhodophyta
38	NC_014773	Rhodophyta
39	NC_023252	Rhodophyta
40	NC_014771	Rhodophyta
41	NC_027616	Rhodophyta
42	NC_026056	Rhodophyta
43	NC_032002	Rhodophyta
44	NC_026831	Rhodophyta
45	NC_024289	Rhodophyta
46	NC_003029	Alveolata
47	NC_008339	Alveolata
48	NC_028626	Alveolata
49	NC_028463	Alveolata
50	NC_011005	Alveolata
51	NC_007243	Alveolata
52	NC_008279	Alveolata
53	NC_001324	Alveolata
54	NC_009961	Alveolata
55	NC_007232	Alveolata
56	NC_017931	Alveolata
57	NC_012450	Alveolata
58	NC_012447	Alveolata
59	NC_009960	Alveolata
60	NC_012451	Alveolata
61	NC_031328	Alveolata
62	NC_009902	Alveolata
63	NC_012425	Alveolata
64	NC_000862	Alveolata
65	NC_002375	Alveolata
66	NC_007233	Alveolata
67	NC_008337	Alveolata
68	NC_015981	Alveolata
69	NC_014262	Alveolata
70	NC_012423	Alveolata
71	NC_009336	Alveolata
72	NC_012426	Alveolata
73	NC_008338	Alveolata
74	NC_015303	Alveolata
75	NC_002235	Alveolata
76	NC_012448	Alveolata
77	NC_015304	Alveolata
78	NC_008288	Alveolata
79	NC_012369	Alveolata
80	NC_030223	Stramenopiles
81	NC_015606	Stramenopiles
82	NC_015669	Stramenopiles
83	NC_013475	Stramenopiles
84	NC_013477	Stramenopiles
85	NC_007683	Stramenopiles
86	NC_009385	Stramenopiles
87	NC_002174	Stramenopiles
88	NC_015622	Stramenopiles
89	NC_026108	Stramenopiles
90	NC_031848	Stramenopiles
91	NC_024655	Stramenopiles
92	NC_025302	Stramenopiles
93	NC_016738	Stramenopiles
94	NC_028211	Stramenopiles
95	NC_032052	Stramenopiles
96	NC_014280	Stramenopiles
97	NC_027265	Stramenopiles
98	NC_028615	Stramenopiles
99	NC_009384	Stramenopiles
100	NC_002571	Stramenopiles
101	NC_024614	Stramenopiles
102	NC_022258	Stramenopiles
103	NC_007684	Stramenopiles
104	NC_022254	Stramenopiles
105	NC_032051	Stramenopiles
106	NC_020015	Stramenopiles
107	NC_022257	Stramenopiles
108	NC_025240	Stramenopiles
109	NC_027962	Stramenopiles
110	NC_015616	Stramenopiles
111	NC_013484	Stramenopiles
112	NC_018042	Stramenopiles
113	NC_021639	Stramenopiles
114	NC_004024	Stramenopiles
115	NC_023506	Stramenopiles
116	NC_026126	Stramenopiles
117	NC_032029	Stramenopiles
118	NC_024861	Stramenopiles
119	NC_022178	Stramenopiles
120	NC_028192	Stramenopiles
121	NC_026700	Stramenopiles
122	NC_021640	Stramenopiles
123	NC_007685	Stramenopiles
124	NC_027859	Stramenopiles
125	NC_027508	Stramenopiles
126	NC_002387	Stramenopiles
127	NC_024613	Stramenopiles
128	NC_027413	Stramenopiles
129	NC_027966	Stramenopiles
130	NC_011212	Stramenopiles
131	NC_022255	Stramenopiles
132	NC_005984	Stramenopiles
133	NC_013482	Stramenopiles
134	NC_000946	Stramenopiles
135	NC_013476	Stramenopiles
136	NC_023354	Stramenopiles
137	NC_027978	Stramenopiles
138	NC_013478	Stramenopiles
139	NC_011213	Stramenopiles
140	NC_032171	Stramenopiles
141	NC_029643	Stramenopiles
142	NC_015619	Stramenopiles
143	NC_014338	Stramenopiles
144	NC_007405	Stramenopiles
145	NC_028331	Stramenopiles
146	NC_029206	Stramenopiles
147	NC_022179	Stramenopiles
148	NC_027747	Stramenopiles
149	NC_013473	Stramenopiles
150	NC_022256	Stramenopiles
151	NC_016739	Stramenopiles
152	NC_013837	Stramenopiles
153	NC_032287	Stramenopiles
154	NC_029397	Stramenopiles
155	NC_003055	Stramenopiles
156	NC_032046	Stramenopiles
157	NC_013710	Stramenopiles
158	NC_025227	Stramenopiles
