	sequence_id	cluster_id
0	NC_023378	Cyprinidae
1	KC847084	Cyprinidae
2	NC_029382	Cyprinidae
3	MN581867	Cyprinidae
4	KF739398	Cyprinidae
5	NC_020606	Cyprinidae
6	NC_017873	Cyprinidae
7	JN412817	Cyprinidae
8	KC513575	Cyprinidae
9	AP013340	Cyprinidae
10	KX611160	Cyprinidae
11	GU138989	Cyprinidae
12	AP012155	Cyprinidae
13	KY419138	Cyprinidae
14	NC_020339	Cyprinidae
15	GU086395	Cyprinidae
16	AB238968	Cyprinidae
17	NC_023366	Cyprinidae
18	AB054124	Cyprinidae
19	NC_029718	Cyprinidae
20	KU314694	Cyprinidae
21	AP012067	Cyprinidae
22	MF443760	Cyprinidae
23	NC_020096	Cyprinidae
24	AP011369	Cyprinidae
25	GU086396	Cyprinidae
26	AP011237	Cyprinidae
27	AP012120	Cyprinidae
28	KU668573	Cyprinidae
29	KF587906	Cyprinidae
30	NC_031551	Cyprinidae
31	KT715479	Cyprinidae
32	NC_026122	Cyprinidae
33	JF911712	Cyprinidae
34	NC_006291	Cyprinidae
35	NC_027165	Cyprinidae
36	KJ845345	Cyprinidae
37	NC_027437	Cyprinidae
38	MN533986	Cyprinidae
39	KU668569	Cyprinidae
40	AP009314	Cyprinidae
41	NC_023979	Cyprinidae
42	AP011194	Cyprinidae
43	KC762939	Cyprinidae
44	AP011208	Cyprinidae
45	AP012117	Cyprinidae
46	KY436758	Cyprinidae
47	NC_033963	Cyprinidae
48	JF496198	Cyprinidae
49	DQ026430	Cyprinidae
50	KP691029	Cyprinidae
51	AP010778	Cyprinidae
52	MG650169	Cyprinidae
53	KF113879	Cyprinidae
54	MF443766	Cyprinidae
55	NC_031622	Cyprinidae
56	NC_021451	Cyprinidae
57	GQ903707	Cyprinidae
58	NC_031538	Cyprinidae
59	GU186888	Cyprinidae
60	NC_029449	Cyprinidae
61	MG570414	Cyprinidae
62	MG570455	Cyprinidae
63	NC_025326	Cyprinidae
64	KP210473	Cyprinidae
65	AY714387	Cyprinidae
66	NC_031537	Cyprinidae
67	NC_047455	Cyprinidae
68	NC_020097	Cyprinidae
69	MN711646	Cyprinidae
70	KR606519	Cyprinidae
71	KU668577	Cyprinidae
72	NC_022867	Cyprinidae
73	AP011242	Cyprinidae
74	MF443759	Cyprinidae
75	AP011384	Cyprinidae
76	KF928796	Cyprinidae
77	AY771781	Cyprinidae
78	JN105355	Cyprinidae
79	AP011377	Cyprinidae
80	AP013305	Cobitidae
81	LC532167	Cobitidae
82	AP009306	Cobitidae
83	AP011342	Cobitidae
84	NC_027849	Cobitidae
85	KM186182	Cobitidae
86	KC734881	Cobitidae
87	AP011337	Cobitidae
88	NC_018755	Cobitidae
89	AP011291	Cobitidae
90	KM676412	Cobitidae
91	AP013311	Cobitidae
92	NC_029438	Cobitidae
93	KM186181	Cobitidae
94	DQ026434	Cobitidae
95	KC762740	Cobitidae
96	MN709617	Cobitidae
97	NC_010649	Cobitidae
98	EU333980	Cobitidae
99	AP011343	Cobitidae
100	NC_027166	Cobitidae
101	LC532168	Cobitidae
102	NC_026130	Cobitidae
103	MG938589	Cobitidae
104	AP017654	Cobitidae
105	JN607252	Cobitidae
106	AP013296	Cobitidae
107	NC_022854	Cobitidae
108	JX155734	Cobitidae
109	NC_023947	Cobitidae
110	MK156771	Cobitidae
111	KR075135	Cobitidae
112	NC_043847	Cobitidae
113	AP011344	Cobitidae
114	NC_022851	Cobitidae
115	AP011230	Cobitidae
116	AP011345	Cobitidae
117	KF908768	Cobitidae
118	AY526868	Cobitidae
119	NC_031592	Cobitidae
120	KM393222	Cobitidae
121	AP011339	Cobitidae
122	NC_015306	Cobitidae
123	KM406486	Cobitidae
124	MF579258	Cobitidae
125	KF771003	Cobitidae
126	AP011290	Cobitidae
